schoolName,smis_code,moe_code
นราธิวาส,96012001,1096240348
นราสิกขาลัย,96012002,1096240349
เฉลิมพระเกียรติกรมหลวงนราธิวาสราชนครินทร์ บางปอประชารักษ์,96012003,1096240350
บาเจาะ,96012004,1096240353
ร่มเกล้า,96012005,1096240354
ตันหยงมัส,96012006,1096240355
รือเสาะชนูปถัมภ์,96012007,1096240356
เรียงราษฏร์อุปถัมภ์,96012008,1096240357
ศรีวารินทร์,96012009,1096240358
ตากใบ,96022001,1096240352
เวียงสุวรรณวิทยาคม,96022002,1096240359
สุคิรินวิทยา,96022004,1096240361
สุไหงโกลก,96022005,1096240362
ธัญธารวิทยา,96022006,1096240364
มัธยมสุไหงปาดี,96022007,1096240363
สวนพระยาวิทยา,96022008,1096240365
บูกิตประชาอุปถัมภ์,96022010,1096240366

